id,pid,userId,status,reason,vehicle,plateNumber,timestamp
"683e42118c62a4e82fdbe0fe","6b403c04","683e41178c62a4e82fdbe0fd","DENIED","User tidak aktif",,,"2025-06-03T00:30:09.729Z"
"683e429f8c62a4e82fdbe0ff","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-03T00:32:31.355Z"
"683e44348c62a4e82fdbe100","2b32b272",,"DENIED","UID tidak terdaftar",,,"2025-06-03T00:39:16.272Z"
"683e9e30fad3f8edca12e47b","2b32b272",,"DENIED","UID tidak terdaftar",,,"2025-06-03T07:03:12.220Z"
"684654ff2adb1940c42343a1","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T03:29:03.748Z"
"68465cb42adb1940c42343a2","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T04:01:56.029Z"
"68465cb52adb1940c42343a3","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T04:01:57.384Z"
"68465cb62adb1940c42343a4","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T04:01:58.555Z"
"68465cd42adb1940c42343a5","9e84ce05e",,"DENIED","UID tidak terdaftar",,,"2025-06-09T04:02:28.591Z"
"68465cd82adb1940c42343a6","9e84ce054",,"DENIED","UID tidak terdaftar",,,"2025-06-09T04:02:32.597Z"
"68465cdc2adb1940c42343a7","9e84ce05g",,"DENIED","UID tidak terdaftar",,,"2025-06-09T04:02:36.182Z"
"68465ce62adb1940c42343a8","c4df4202","683be4a11cd41fe74b91c584","DENIED","User tidak aktif",,,"2025-06-09T04:02:46.907Z"
"68465cec2adb1940c42343a9","c4df4202","683be4a11cd41fe74b91c584","DENIED","User tidak aktif",,,"2025-06-09T04:02:52.665Z"
"68465cf22adb1940c42343aa","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T04:02:58.682Z"
"68465cf42adb1940c42343ab","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T04:03:00.569Z"
"6846a653282549d04fde069d","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T09:16:03.823Z"
"6846a654282549d04fde069e","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T09:16:03.788Z"
"6846a65b282549d04fde069f","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T09:16:11.085Z"
"6846a65b282549d04fde06a0","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T09:16:11.133Z"
"6846a677282549d04fde06a1","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T09:16:39.245Z"
"6846a677282549d04fde06a2","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T09:16:39.336Z"
"6846a684282549d04fde06a3","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T09:16:52.632Z"
"6846a684282549d04fde06a4","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T09:16:52.670Z"
"6846a848282549d04fde06a5","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T09:24:24.661Z"
"6846c57ae3c2725f3f3592d8","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T11:28:58.776Z"
"6846c5d4e3c2725f3f3592d9","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-09T11:30:28.742Z"
"6846d7c15c86b6da4495a4a0","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T12:46:57.018Z"
"6846e81bb1db176e93c3f5c3","9e84ce000",,"DENIED","UID tidak terdaftar",,,"2025-06-09T13:56:43.058Z"
"68542bbee507f37263305a2f","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-19T15:24:46.579Z"
"68542cfee507f37263305a30","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"CAR",,"2025-06-19T15:30:06.905Z"
"68542d1be507f37263305a31","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"NO_VEHICLE",,"2025-06-19T15:30:35.570Z"
"68542d26e507f37263305a32","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"BIKE",,"2025-06-19T15:30:46.902Z"
"68542f0ae507f37263305a33","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,,,"2025-06-19T15:38:50.802Z"
"6854fdb7c4155adf6fa50fc7","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"NO_VEHICLE",,"2025-06-20T06:20:39.547Z"
"6854fe77e7ad8e8b8c2e39ba","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"NO_VEHICLE",,"2025-06-20T06:23:51.379Z"
"6854fe94e7ad8e8b8c2e39bb","9e84ce05","683be4831cd41fe74b91c583","GRANTED",,"CAR",,"2025-06-20T06:24:20.814Z"
